"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SBIN","N2","22-Sep-2016","      10960.00","      11000.00","      11040.00","      11000.00","      11040.00","      11040.00","      11002.50","         16","              176040.00","          6","         16","        100.00"
"SBIN","N2","21-Oct-2016","      11035.00","      11149.00","      11309.00","      11149.00","      11208.00","      11208.00","      11236.06","         12","              134832.70","          9","         12","        100.00"
"SBIN","N2","22-Nov-2016","      11260.01","      11260.00","      11300.00","      11260.00","      11300.00","      11300.00","      11271.43","          7","               78900.00","          2","          7","        100.00"
"SBIN","N2","22-Dec-2016","      11376.50","      11375.05","      11375.05","      11375.05","      11375.05","      11375.05","      11375.05","          1","               11375.05","          1","          1","        100.00"
"SBIN","N2","23-Jan-2017","      11650.00","      11611.00","      11615.00","      11555.00","      11565.00","      11565.67","      11587.33","         31","              359207.08","         11","         31","        100.00"
"SBIN","N2","22-Feb-2017","      11640.00","      11570.00","      11570.00","      11562.00","      11562.00","      11562.00","      11569.27","         11","              127262.00","          3","         11","        100.00"
"SBIN","N2","22-Mar-2017","      10950.00","      10900.00","      10925.00","      10825.00","      10915.00","      10916.25","      10891.19","         22","              239606.25","         10","         15","         68.18"
"SBIN","N2","24-Apr-2017","      10900.03","      10901.00","      10920.00","      10900.00","      10900.00","      10903.76","      10902.09","        137","             1493586.70","         15","        136","         99.27"
"SBIN","N2","22-May-2017","      10940.08","      10975.00","      10980.00","      10940.00","      10940.00","      10940.00","      10970.18","         38","              416867.00","         11","         38","        100.00"
"SBIN","N2","22-Jun-2017","      11188.40","      11151.00","      11151.00","      11151.00","      11151.00","      11151.00","      11151.00","          1","               11151.00","          1","          1","        100.00"
